//一番下,,,,,,,,
22,22,22,22,22,22,22,22,22
22,22,22,22,22,22,22,22,22
22,22,22,22,22,22,22,22,22
22,22,22,22,22,22,22,22,22
//真ん中,,,,,,,,
407,407,407,407,407,407,407,407,407
407,407,407,407,407,407,407,407,407
407,407,407,407,407,407,407,407,407
407,407,407,407,407,407,407,407,407
//予備？,,,,,,,,
3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3
//通行フラグ,,,,,,,,
1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1
//イベント,,,,,,,,
4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4
